# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-11-04 11:29:57 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05427965 SPRING HARBOR STORM SEWER AT MADISON, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 05427965
#            TS   parameter     statistic     Description
#        155018       00060     00003     Discharge, cubic feet per second (Mean)
#        225457       00940     00003     Chloride, water, filtered, milligrams per liter (Mean)
#        225458       70290     00003     Chloride, water, dissolved, short tons per day (Mean)
#        225461       91050     00003     Phosphorus, water, unfiltered, pounds of phosphorus per day (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	155018_00060_00003	155018_00060_00003_cd	225457_00940_00003	225457_00940_00003_cd	225458_70290_00003	225458_70290_00003_cd	225461_91050_00003	225461_91050_00003_cd
USGS	05427965	2014-02-26	0.03	A	1380	A	0.13	A		
USGS	05427965	2014-02-27	0.05	A	1310	A	0.16	A		
USGS	05427965	2014-02-28	0.07	A	1150	A	0.22	A		
USGS	05427965	2014-03-01	0.05	A	910	A	0.12	A		
USGS	05427965	2014-03-02	0.09	A	738	A	0.19	A		
USGS	05427965	2014-03-03	0.14	A	516	A	0.21	A		
USGS	05427965	2014-03-04	0.31	A	1160	A	0.90	A		
USGS	05427965	2014-03-05	0.08	A	4130	A	1.04	A		
USGS	05427965	2014-03-06	0.08	A	4820	A	1.10	A		
USGS	05427965	2014-03-07	0.55	A	3370	A	5.26	A		
USGS	05427965	2014-03-08	0.63	A	3560	A	5.66	A		
USGS	05427965	2014-03-09	0.73	A	2140	A	4.13	A		
USGS	05427965	2014-03-10	8.26	A	1490	A	24.3	A		
USGS	05427965	2014-03-11	7.29	A	1120	A	21.3	A		
USGS	05427965	2014-03-12	2.11	A	1220	A	6.83	A		
USGS	05427965	2014-03-13	0.66	A	1080	A	1.79	A		
USGS	05427965	2014-03-14	7.18	A	596	A	8.38	A		
USGS	05427965	2014-03-15	2.17	A	750	A	4.51	A		
USGS	05427965	2014-03-16	0.43	A	725	A	0.84	A		
USGS	05427965	2014-03-17	0.20	A	747	A	0.40	A		
USGS	05427965	2014-03-18	0.92	A	581	A	1.03	A		
USGS	05427965	2014-03-19	3.52	A	552	A	5.11	A		
USGS	05427965	2014-03-20	1.41	A	583	A	2.01	A		
USGS	05427965	2014-03-21	1.29	A	484	A	1.45	A		
USGS	05427965	2014-03-22	0.58	A	562	A	0.86	A		
USGS	05427965	2014-03-23	0.24	A	601	A	0.38	A		
USGS	05427965	2014-03-24	0.14	A	581	A	0.22	A		
USGS	05427965	2014-03-25	0.09	A	555	A	0.13	A		
USGS	05427965	2014-03-26	0.05	A	494	A	0.07	A		
USGS	05427965	2014-03-27	3.08	A	1080	A	2.24	A		
USGS	05427965	2014-03-28	8.01	A	452	A	8.47	A		
USGS	05427965	2014-03-29	0.99	A	456	A	1.23	A		
USGS	05427965	2014-03-30	0.42	A	423	A	0.48	A		
USGS	05427965	2014-03-31	0.28	A	374	A	0.28	A		
USGS	05427965	2014-04-01	0.13	A	381	A	0.13	A		
USGS	05427965	2014-04-02	0.06	A	368	A	0.06	A		
USGS	05427965	2014-04-03	0.05	A	354	A	0.05	A		
USGS	05427965	2014-04-04	2.18	A	581	A	2.69	A		
USGS	05427965	2014-04-05	0.49	A	765	A	1.02	A		
USGS	05427965	2014-04-06	0.39	A	670	A	0.71	A		
USGS	05427965	2014-04-07	0.51	A	751	A	1.05	A		
USGS	05427965	2014-04-08	0.23	A	1260	A	0.71	A		
USGS	05427965	2014-04-09	0.12	A	1050	A	0.34	A		
USGS	05427965	2014-04-10	0.06	A	824	A	0.14	A		
USGS	05427965	2014-04-11	0.05	A	858	A	0.12	A		
USGS	05427965	2014-04-12	0.05	A	768	A	0.11	A		
USGS	05427965	2014-04-13	40.7	A	488	A	24.0	A		
USGS	05427965	2014-04-14	33.5	A	176	A	15.5	A		
USGS	05427965	2014-04-15	1.99	A	191	A	1.01	A		
USGS	05427965	2014-04-16	0.31	A	206	A	0.17	A		
USGS	05427965	2014-04-17	0.12	A	264	A	0.09	A		
USGS	05427965	2014-04-18	0.08	A	255	A	0.06	A		
USGS	05427965	2014-04-19	0.05	A	299	A	0.04	A		
USGS	05427965	2014-04-20	0.05	A	275	A	0.04	A		
USGS	05427965	2014-04-21	0.11	A	331	A	0.11	A		
USGS	05427965	2014-04-22	0.08	A	351	A	0.07	A		
USGS	05427965	2014-04-23	0.17	A	331	A	0.11	A		
USGS	05427965	2014-04-24	2.93	A	153	A	0.99	A		
USGS	05427965	2014-04-25	4.14	A	213	A	2.17	A		
USGS	05427965	2014-04-26	0.48	A	224	A	0.29	A		
USGS	05427965	2014-04-27	1.69	A	191	A	0.73	A		
USGS	05427965	2014-04-28	18.7	A	139	A	4.76	A		
USGS	05427965	2014-04-29	14.0	A	114	A	4.28	A		
USGS	05427965	2014-04-30	1.79	A	119	A	0.56	A		
USGS	05427965	2014-05-01	0.72	A	126	A	0.25	A		
USGS	05427965	2014-05-02	0.41	A	128	A	0.14	A		
USGS	05427965	2014-05-03	0.24	A	143	A	0.09	A		
USGS	05427965	2014-05-04	0.12	A	176	A	0.06	A		
USGS	05427965	2014-05-05	0.06	A	208	A	0.03	A		
USGS	05427965	2014-05-06	0.04	A	235	A	0.03	A		
USGS	05427965	2014-05-07	0.04	A	251	A	0.03	A		
USGS	05427965	2014-05-08	0.04	A	262	A	0.03	A		
USGS	05427965	2014-05-09	0.02	A	264	A	0.01	A		
USGS	05427965	2014-05-10	0.01	A	262	A	0.01	A		
USGS	05427965	2014-05-11	0.21	A	212	A	0.07	A		
USGS	05427965	2014-05-12	20.6	A	85.7	A	3.54	A		
USGS	05427965	2014-05-13	6.67	A	81.4	A	1.37	A		
USGS	05427965	2014-05-14	0.75	A	87.8	A	0.18	A		
USGS	05427965	2014-05-15	0.38	A	89.8	A	0.09	A		
USGS	05427965	2014-05-16	0.20	A	107	A	0.06	A		
USGS	05427965	2014-05-17	0.08	A	150	A	0.03	A		
USGS	05427965	2014-05-18	0.05	A	198	A	0.03	A		
USGS	05427965	2014-05-19	0.24	A	192	A	0.11	A		
USGS	05427965	2014-05-20	1.03	A	133	A	0.22	A		
USGS	05427965	2014-05-21	1.50	A	84.0	A	0.32	A		
USGS	05427965	2014-05-22	0.32	A	113	A	0.10	A		
USGS	05427965	2014-05-23	0.15	A	136	A	0.05	A		
USGS	05427965	2014-05-24	0.07	A	179	A	0.03	A		
USGS	05427965	2014-05-25	0.05	A	211	A	0.03	A		
USGS	05427965	2014-05-26	0.15	A	198	A	0.06	A		
USGS	05427965	2014-05-27	11.8	A	136	A	1.08	A		
USGS	05427965	2014-05-28	5.13	A	81.6	A	1.13	A		
USGS	05427965	2014-05-29	0.51	A	89.5	A	0.12	A		
USGS	05427965	2014-05-30	0.19	A	109	A	0.05	A		
USGS	05427965	2014-05-31	0.08	A	150	A	0.03	A		
USGS	05427965	2014-06-01	12.7	A	162	A	0.84	A		
USGS	05427965	2014-06-02	40.1	A	50.1	A	5.10	A		
USGS	05427965	2014-06-03	3.78	A	65.6	A	0.61	A		
USGS	05427965	2014-06-04	0.48	A	79.8	A	0.10	A		
USGS	05427965	2014-06-05	0.18	A	142	A	0.07	A		
USGS	05427965	2014-06-06	0.07	A	170	A	0.03	A		
USGS	05427965	2014-06-07	0.07	A	187	A	0.03	A		
USGS	05427965	2014-06-08	0.66	A	78.2	A	0.14	A		
USGS	05427965	2014-06-09	0.21	A	92.2	A	0.05	A		
USGS	05427965	2014-06-10	0.07	A	137	A	0.03	A		
USGS	05427965	2014-06-11	0.10	A	153	A	0.03	A		
USGS	05427965	2014-06-12	0.11	A	128	A	0.04	A		
USGS	05427965	2014-06-13	0.00	A	155	A	0.00	A		
USGS	05427965	2014-06-14	0.00	A	146	A	0.00	A		
USGS	05427965	2014-06-15	0.00	A	106	A	0.00	A		
USGS	05427965	2014-06-16	0.00	A	109	A	0.00	A		
USGS	05427965	2014-06-17	22.2	A	51.3	A	2.37	A		
USGS	05427965	2014-06-18	11.0	A	48.2	A	1.12	A		
USGS	05427965	2014-06-19	17.6	A	39.3	A	1.57	A		
USGS	05427965	2014-06-20	33.8	A	36.4	A	2.86	A		
USGS	05427965	2014-06-21	3.38	A	43.0	A	0.39	A		
USGS	05427965	2014-06-22	0.95	A	46.3	A	0.11	A		
USGS	05427965	2014-06-23	0.35	A	58.8	A	0.06	A		
USGS	05427965	2014-06-24	0.16	A	101	A	0.04	A		
USGS	05427965	2014-06-25	0.04	A	146	A	0.01	A		
USGS	05427965	2014-06-26	0.00	A	171	A	0.00	A		
USGS	05427965	2014-06-27	0.00	A	190	A	0.00	A		
USGS	05427965	2014-06-28	0.00	A	190	A	0.00	A		
USGS	05427965	2014-06-29	8.81	A	63.9	A	0.61	A		
USGS	05427965	2014-06-30	45.0	A	37.5	A	3.38	A		
USGS	05427965	2014-07-01	15.7	A	31.4	A	1.23	A		
USGS	05427965	2014-07-02	0.95	A	52.2	A	0.13	A		
USGS	05427965	2014-07-03	0.33	A	83.3	A	0.08	A		
USGS	05427965	2014-07-04	0.21	A	66.8	A	0.04	A		
USGS	05427965	2014-07-05	0.15	A	71.6	A	0.03	A		
USGS	05427965	2014-07-06	0.04	A	122	A	0.01	A		
USGS	05427965	2014-07-07	0.13	A	194	A	0.07	A		
USGS	05427965	2014-07-08	4.43	A	43.9	A	0.47	A		
USGS	05427965	2014-07-09	0.51	A	72.8	A	0.11	A		
USGS	05427965	2014-07-10	0.34	A	91.1	A	0.09	A		
USGS	05427965	2014-07-11	0.17	A	130	A	0.06	A		
USGS	05427965	2014-07-12	2.02	A	141	A	0.13	A		
USGS	05427965	2014-07-13	1.31	A	46.7	A	0.15	A		
USGS	05427965	2014-07-14	0.30	A	58.4	A	0.05	A		
USGS	05427965	2014-07-15	0.41	A	67.3	A	0.08	A		
USGS	05427965	2014-07-16	0.29	A	77.3	A	0.07	A		
USGS	05427965	2014-07-17	0.27	A	65.1	A	0.05	A		
USGS	05427965	2014-07-18	0.17	A	100	A	0.04	A		
USGS	05427965	2014-07-19	0.07	A	138	A	0.02	A		
USGS	05427965	2014-07-20	0.02	A	180	A	0.01	A		
USGS	05427965	2014-07-21	0.06	A	236	A	0.04	A		
USGS	05427965	2014-07-22	0.05	A	261	A	0.03	A		
USGS	05427965	2014-07-23	0.05	A	262	A	0.04	A		
USGS	05427965	2014-07-24	0.04	A	262	A	0.03	A		
USGS	05427965	2014-07-25	0.05	A	256	A	0.03	A		
USGS	05427965	2014-07-26	0.04	A	252	A	0.02	A		
USGS	05427965	2014-07-27	1.14	A	189	A	0.14	A		
USGS	05427965	2014-07-28	0.30	A	65.4	A	0.04	A		
USGS	05427965	2014-07-29	0.11	A	124	A	0.03	A		
USGS	05427965	2014-07-30	0.30	A	91.9	A	0.07	A		
USGS	05427965	2014-07-31	0.26	A	144	A	0.12	A		
USGS	05427965	2014-08-01	0.16	A	143	A	0.04	A		
USGS	05427965	2014-08-02	0.32	A	87.8	A	0.06	A		
USGS	05427965	2014-08-03	0.24	A	73.4	A	0.04	A		
USGS	05427965	2014-08-04	6.95	A	70.3	A	0.63	A		
USGS	05427965	2014-08-05	2.44	A	68.6	A	0.44	A		
USGS	05427965	2014-08-06	0.71	A	72.3	A	0.14	A		
USGS	05427965	2014-08-07	0.21	A	87.8	A	0.05	A		
USGS	05427965	2014-08-08	0.06	A	133	A	0.02	A		
USGS	05427965	2014-08-09	0.04	A	176	A	0.02	A		
USGS	05427965	2014-08-10	0.04	A	218	A	0.02	A		
USGS	05427965	2014-08-11	0.01	A	235	A	0.01	A		
USGS	05427965	2014-08-12	0.00	A	241	A	0.00	A		
USGS	05427965	2014-08-13	0.00	A	242	A	0.00	A		
USGS	05427965	2014-08-14	0.00	A	240	A	0.00	A		
USGS	05427965	2014-08-15	0.00	A	243	A	0.00	A		
USGS	05427965	2014-08-16	0.01	A	242	A	0.00	A		
USGS	05427965	2014-08-17	0.00	A	243	A	0.00	A		
USGS	05427965	2014-08-18	0.02	A	245	A	0.01	A		
USGS	05427965	2014-08-19	8.73	A	75.3	A	0.96	A		
USGS	05427965	2014-08-20	0.57	A	81.7	A	0.12	A		
USGS	05427965	2014-08-21	9.65	A	64.5	A	0.98	A		
USGS	05427965	2014-08-22	1.88	A	60.6	A	0.30	A		
USGS	05427965	2014-08-23	0.81	A	65.5	A	0.14	A		
USGS	05427965	2014-08-24	0.37	A	68.6	A	0.07	A		
USGS	05427965	2014-08-25	28.0	A	44.5	A	1.98	A		
USGS	05427965	2014-08-26	3.74	A	34.4	A	0.34	A		
USGS	05427965	2014-08-27	0.57	A	52.4	A	0.08	A		
USGS	05427965	2014-08-28	0.29	A	93.5	A	0.07	A		
USGS	05427965	2014-08-29	0.18	A	145	A	0.07	A		
USGS	05427965	2014-08-30	7.05	A	36.0	A	0.53	A		
USGS	05427965	2014-08-31	1.08	A	39.7	A	0.11	A		
USGS	05427965	2014-09-01	1.81	A	43.6	A	0.14	A		
USGS	05427965	2014-09-02	1.02	A	38.9	A	0.11	A		
USGS	05427965	2014-09-03	0.56	A	57.4	A	0.09	A		
USGS	05427965	2014-09-04	43.8	A	29.8	A	2.39	A		
USGS	05427965	2014-09-05	6.01	A	26.2	A	0.40	A		
USGS	05427965	2014-09-06	0.44	A	42.0	A	0.05	A		
USGS	05427965	2014-09-07	0.17	A	73.3	A	0.03	A		
USGS	05427965	2014-09-08	0.11	A	308	A	0.08	A		
USGS	05427965	2014-09-09	0.05	A	373	A	0.05	A		
USGS	05427965	2014-09-10	6.83	A	42.1	A	0.55	A		
USGS	05427965	2014-09-11	0.99	A	36.0	A	0.09	A		
USGS	05427965	2014-09-12	0.64	A	55.0	A	0.09	A		
USGS	05427965	2014-09-13	0.40	A	43.0	A	0.05	A		
USGS	05427965	2014-09-14	0.19	A	80.4	A	0.04	A		
USGS	05427965	2014-09-15	0.78	A	63.4	A	0.08	A		
USGS	05427965	2014-09-16	0.48	A	39.4	A	0.05	A		
USGS	05427965	2014-09-17	0.27	A	68.4	A	0.05	A		
USGS	05427965	2014-09-18	0.11	A	198	A	0.06	A		
USGS	05427965	2014-09-19	0.05	A	226	A	0.03	A		
USGS	05427965	2014-09-20	0.46	A	242	A	0.07	A		
USGS	05427965	2014-09-21	0.56	A	55.3	A	0.08	A		
USGS	05427965	2014-09-22	0.23	A	68.3	A	0.04	A		
USGS	05427965	2014-09-23	0.19	A	134	A	0.07	A		
USGS	05427965	2014-09-24	0.07	A	170	A	0.03	A		
USGS	05427965	2014-09-25	0.05	A	241	A	0.03	A		
USGS	05427965	2014-09-26	0.05	A	265	A	0.04	A		
USGS	05427965	2014-09-27	0.05	A	264	A	0.04	A		
USGS	05427965	2014-09-28	0.05	A	262	A	0.04	A		
USGS	05427965	2014-09-29	0.05	A	255	A	0.04	A		
USGS	05427965	2014-09-30	0.05	A	254	A	0.03	A		
USGS	05427965	2014-10-01	0.06	A	255	A	0.04	A		
USGS	05427965	2014-10-02	0.06	A	243	A	0.04	A		
USGS	05427965	2014-10-03	11.6	A	54.5	A	1.10	A		
USGS	05427965	2014-10-04	1.04	A	49.7	A	0.14	A		
USGS	05427965	2014-10-05	0.36	A	58.7	A	0.06	A		
USGS	05427965	2014-10-06	0.30	A	71.8	A	0.06	A		
USGS	05427965	2014-10-07	0.26	A	78.6	A	0.05	A		
USGS	05427965	2014-10-08	0.14	A	143	A	0.05	A		
USGS	05427965	2014-10-09	0.12	A:e	222	A	0.06	A:e		
USGS	05427965	2014-10-10	0.21	A:e	386	A	0.11	A:e		
USGS	05427965	2014-10-11	0.20	A	215	A	0.11	A		
USGS	05427965	2014-10-12	0.12	A	190	A	0.06	A		
USGS	05427965	2014-10-13	13.9	A	166	A	1.07	A		
USGS	05427965	2014-10-14	11.3	A	41.6	A	1.27	A		
USGS	05427965	2014-10-15	1.39	A	45.7	A	0.16	A		
USGS	05427965	2014-10-16	0.42	A	56.7	A	0.06	A		
USGS	05427965	2014-10-17	0.43	A	83.1	A	0.10	A		
USGS	05427965	2014-10-18	0.33	A	87.6	A	0.08	A		
USGS	05427965	2014-10-19	0.26	A	69.8	A	0.05	A		
USGS	05427965	2014-10-20	0.22	A	82.9	A	0.05	A		
USGS	05427965	2014-10-21	0.86	A	136	A	0.38	A		
USGS	05427965	2014-10-22	0.28	A	172	A	0.12	A		
USGS	05427965	2014-10-23	0.55	A	172	A	0.25	A		
USGS	05427965	2014-10-24	0.16	A	156	A	0.07	A		
USGS	05427965	2014-10-25	0.10	A	219	A	0.06	A		
USGS	05427965	2014-10-26	0.10	A	259	A	0.07	A		
USGS	05427965	2014-10-27	0.12	A	230	A	0.07	A		
USGS	05427965	2014-10-28	0.10	A	243	A	0.06	A		
USGS	05427965	2014-10-29	0.10	A	260	A	0.07	A		
USGS	05427965	2014-10-30	0.09	A	259	A	0.06	A		
USGS	05427965	2014-10-31	0.09	A	258	A	0.07	A		
USGS	05427965	2014-11-01	0.09	A	257	A	0.06	A		
USGS	05427965	2014-11-02	0.10	A	256	A	0.07	A		
USGS	05427965	2014-11-03	0.15	A	246	A	0.07	A		
USGS	05427965	2014-11-04	0.35	A	121	A	0.10	A		
USGS	05427965	2014-11-05	0.12	A	173	A	0.05	A		
USGS	05427965	2014-11-06	0.11	A	171	A	0.05	A		
USGS	05427965	2014-11-07	0.11	A	203	A	0.06	A		
USGS	05427965	2014-11-08	0.12	A	165	A	0.05	A		
USGS	05427965	2014-11-09	0.08	A	210	A	0.05	A		
USGS	05427965	2014-11-10	0.05	A	233	A	0.03	A		
USGS	05427965	2014-11-11	0.10	A	171	A	0.04	A		
USGS	05427965	2014-11-12	0.10	A	207	A	0.06	A		
USGS	05427965	2014-11-13	0.10	A	241	A	0.06	A		
USGS	05427965	2014-11-14	0.08	A	250	A	0.06	A		
USGS	05427965	2014-11-15	0.07	A	253	A	0.05	A		
USGS	05427965	2014-11-16	0.05	A	260	A	0.04	A		
USGS	05427965	2014-11-17	0.03	A	285	A	0.02	A		
USGS	05427965	2014-11-18	0.00	A	287	A	0.00	A		
USGS	05427965	2014-11-19	0.14	A	273	A	0.10	A		
USGS	05427965	2014-11-20	0.10	A	255	A	0.07	A		
USGS	05427965	2014-11-21	0.07	A:e	256	A	0.05	A:e		
USGS	05427965	2014-11-22	0.11	A:e	260	A	0.07	A:e		
USGS	05427965	2014-11-23	12.6	A:e	262	A	8.10	A:e		
USGS	05427965	2014-11-24	4.59	A:e	244	A	2.90	A:e		
USGS	05427965	2014-11-25	0.80	A	260	A	0.49	A		
USGS	05427965	2014-11-26	0.33	A	327	A	0.30	A		
USGS	05427965	2014-11-27	0.23	A	187	A	0.12	A		
USGS	05427965	2014-11-28	0.20	A	184	A	0.10	A		
USGS	05427965	2014-11-29	0.47	A	675	A	1.16	A		
USGS	05427965	2014-11-30	0.47	A	701	A	0.94	A		
USGS	05427965	2014-12-01	0.26	A	268	A	0.19	A		
USGS	05427965	2014-12-02	0.19	A	220	A	0.11	A		
USGS	05427965	2014-12-03	0.18	A	184	A	0.09	A		
USGS	05427965	2014-12-04	0.12	A	211	A	0.07	A		
USGS	05427965	2014-12-05	0.09	A	215	A	0.05	A		
USGS	05427965	2014-12-06	0.00	A	194	A	0.00	A		
USGS	05427965	2014-12-07	0.00	A	134	A	0.00	A		
USGS	05427965	2014-12-08	1.67	A	1380	A	7.29	A		
USGS	05427965	2014-12-09	0.77	A	359	A	0.78	A		
USGS	05427965	2014-12-10	0.32	A	265	A	0.24	A		
USGS	05427965	2014-12-11	0.20	A	210	A	0.11	A		
USGS	05427965	2014-12-12	0.16	A	215	A	0.09	A		
USGS	05427965	2014-12-13	0.21	A	351	A	0.20	A		
USGS	05427965	2014-12-14	0.21	A	564	A	0.32	A		
USGS	05427965	2014-12-15	0.79	A	530	A	1.05	A		
USGS	05427965	2014-12-16	3.16	A	286	A	2.38	A		
USGS	05427965	2014-12-17	0.83	A	299	A	0.67	A		
USGS	05427965	2014-12-18	0.29	A	304	A	0.24	A		
USGS	05427965	2014-12-19	0.19	A	303	A	0.15	A		
USGS	05427965	2014-12-20	0.12	A	296	A	0.09	A		
USGS	05427965	2014-12-21	0.10	A	293	A	0.08	A		
USGS	05427965	2014-12-22	0.54	A	274	A	0.36	A		
USGS	05427965	2014-12-23	7.25	A	256	A	4.26	A		
USGS	05427965	2014-12-24	1.06	A	288	A	0.82	A		
USGS	05427965	2014-12-25	0.37	A	288	A	0.28	A		
USGS	05427965	2014-12-26	0.24	A	287	A	0.18	A		
USGS	05427965	2014-12-27	0.33	A	261	A	0.23	A		
USGS	05427965	2014-12-28	0.25	A	315	A	0.21	A		
USGS	05427965	2014-12-29	0.19	A	364	A	0.19	A		
USGS	05427965	2014-12-30	0.04	A	364	A	0.04	A		
USGS	05427965	2014-12-31	0.00	A	89.5	A	0.00	A		
USGS	05427965	2015-01-01	0.00	A	147	A	0.00	A		
USGS	05427965	2015-01-02	0.00	A	202	A	0.00	A		
USGS	05427965	2015-01-03	0.00	A	212	A	0.00	A		
USGS	05427965	2015-01-04	0.00	A	269	A	0.00	A		
USGS	05427965	2015-01-05	0.00	A	6.3	A	0.00	A		
USGS	05427965	2015-01-06	0.00	A	2.7	A	0.00	A		
USGS	05427965	2015-01-07	0.00	A	1.9	A	0.00	A		
USGS	05427965	2015-01-08	0.00	A	2.4	A	0.00	A		
USGS	05427965	2015-01-09	0.00	A	1.9	A	0.00	A		
USGS	05427965	2015-01-10	0.00	A	2.4	A	0.00	A		
USGS	05427965	2015-01-11	0.00	A	2.8	A	0.00	A		
USGS	05427965	2015-01-12	0.00	A	1.8	A	0.00	A		
USGS	05427965	2015-01-13	0.00	A	1.6	A	0.00	A		
USGS	05427965	2015-01-14	0.00	A	2.2	A	0.00	A		
USGS	05427965	2015-01-15	0.00	A	3.7	A	0.00	A		
USGS	05427965	2015-01-16	0.00	A	3.1	A	0.00	A		
USGS	05427965	2015-01-17	0.05	A	2.6	A	0.00	A		
USGS	05427965	2015-01-18	0.48	A	572	A	0.83	A		
USGS	05427965	2015-01-19	0.33	A	907	A	0.79	A		
USGS	05427965	2015-01-20	0.30	A:e	350	A	0.78	A:e		
USGS	05427965	2015-01-21	0.30	A	1110	A	0.96	A		
USGS	05427965	2015-01-22	0.11	A	1220	A	0.35	A		
USGS	05427965	2015-01-23	0.05	A	1720	A	0.23	A		
USGS	05427965	2015-01-24	0.05	A	1620	A	0.22	A		
USGS	05427965	2015-01-25	0.05	A	1310	A	0.18	A		
USGS	05427965	2015-01-26	0.05	A	871	A	0.12	A		
USGS	05427965	2015-01-27	0.05	A	765	A	0.10	A		
USGS	05427965	2015-01-28	0.08	A	3620	A	0.89	A		
USGS	05427965	2015-01-29	0.05	A	7360	A	0.99	A		
USGS	05427965	2015-01-30	0.05	A	5640	A	0.76	A		
USGS	05427965	2015-01-31	0.05	A	4680	A	0.63	A		
USGS	05427965	2015-02-01	0.05	A	2490	A	0.36	A		
USGS	05427965	2015-02-02	0.05	A	1420	A	0.19	A		
USGS	05427965	2015-02-03	0.05	A	1510	A	0.20	A		
USGS	05427965	2015-02-04	0.07	A	1680	A	0.33	A		
USGS	05427965	2015-02-05	0.13	A	945	A	0.31	A		
USGS	05427965	2015-02-06	0.10	A	1580	A	0.43	A		
USGS	05427965	2015-02-07	0.12	A	2620	A	0.86	A		
USGS	05427965	2015-02-08	0.10	A	2770	A	0.75	A		
USGS	05427965	2015-02-09	0.11	A	2990	A	0.89	A		
USGS	05427965	2015-02-10	0.10	A	2270	A	0.62	A		
USGS	05427965	2015-02-11	0.10	A	1970	A	0.53	A		
USGS	05427965	2015-02-12	0.14	A	1850	A	0.68	A		
USGS	05427965	2015-02-13	0.12	A	1820	A	0.62	A		
USGS	05427965	2015-02-14	0.16	A	1380	A	0.57	A		
USGS	05427965	2015-02-15	0.15	A:e	135	A	0.15	A		
USGS	05427965	2015-02-16	0.16	A:e	60.1	A	0.04	A		
USGS	05427965	2015-02-17	0.20	A	60.4	A	0.03	A		
USGS	05427965	2015-02-18	0.20	A	23.6	A	0.01	A		
USGS	05427965	2015-02-19	0.19	A:e	14.6	A	0.01	A		
USGS	05427965	2015-02-20	0.17	A:e	1160	A	1.32	A		
USGS	05427965	2015-02-21	0.17	A	455	A	0.21	A		
USGS	05427965	2015-02-22	0.16	A	317	A	0.14	A		
