# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-11-13 14:50:57 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05427965 SPRING HARBOR STORM SEWER AT MADISON, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 05427965
#            TS   parameter     statistic     Description
#        225457       00940     00003     Chloride, water, filtered, milligrams per liter (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	225457_00940_00003	225457_00940_00003_cd
USGS	05427965	2014-05-01	126	A
USGS	05427965	2014-05-02	128	A
USGS	05427965	2014-05-03	143	A
USGS	05427965	2014-05-04	176	A
USGS	05427965	2014-05-05	208	A
USGS	05427965	2014-05-06	235	A
USGS	05427965	2014-05-07	251	A
USGS	05427965	2014-05-08	262	A
USGS	05427965	2014-05-09	264	A
USGS	05427965	2014-05-10	262	A
USGS	05427965	2014-05-11	212	A
USGS	05427965	2014-05-12	85.7	A
USGS	05427965	2014-05-13	81.4	A
USGS	05427965	2014-05-14	87.8	A
USGS	05427965	2014-05-15	89.8	A
USGS	05427965	2014-05-16	107	A
USGS	05427965	2014-05-17	150	A
USGS	05427965	2014-05-18	198	A
USGS	05427965	2014-05-19	192	A
USGS	05427965	2014-05-20	133	A
USGS	05427965	2014-05-21	84.0	A
USGS	05427965	2014-05-22	113	A
USGS	05427965	2014-05-23	136	A
USGS	05427965	2014-05-24	179	A
USGS	05427965	2014-05-25	211	A
USGS	05427965	2014-05-26	198	A
USGS	05427965	2014-05-27	136	A
USGS	05427965	2014-05-28	81.6	A
USGS	05427965	2014-05-29	89.5	A
USGS	05427965	2014-05-30	109	A
USGS	05427965	2014-05-31	150	A
USGS	05427965	2014-06-01	162	A
USGS	05427965	2014-06-02	50.1	A
USGS	05427965	2014-06-03	65.6	A
USGS	05427965	2014-06-04	79.8	A
USGS	05427965	2014-06-05	142	A
USGS	05427965	2014-06-06	170	A
USGS	05427965	2014-06-07	187	A
USGS	05427965	2014-06-08	78.2	A
USGS	05427965	2014-06-09	92.2	A
USGS	05427965	2014-06-10	137	A
USGS	05427965	2014-06-11	153	A
USGS	05427965	2014-06-12	128	A
USGS	05427965	2014-06-13	155	A
USGS	05427965	2014-06-14	146	A
USGS	05427965	2014-06-15	106	A
USGS	05427965	2014-06-16	109	A
USGS	05427965	2014-06-17	51.3	A
USGS	05427965	2014-06-18	48.2	A
USGS	05427965	2014-06-19	39.3	A
USGS	05427965	2014-06-20	36.4	A
USGS	05427965	2014-06-21	43.0	A
USGS	05427965	2014-06-22	46.3	A
USGS	05427965	2014-06-23	58.8	A
USGS	05427965	2014-06-24	101	A
USGS	05427965	2014-06-25	146	A
USGS	05427965	2014-06-26	171	A
USGS	05427965	2014-06-27	190	A
USGS	05427965	2014-06-28	190	A
USGS	05427965	2014-06-29	63.9	A
USGS	05427965	2014-06-30	37.5	A
USGS	05427965	2014-07-01	31.4	A
USGS	05427965	2014-07-02	52.2	A
USGS	05427965	2014-07-03	83.3	A
USGS	05427965	2014-07-04	66.8	A
USGS	05427965	2014-07-05	71.6	A
USGS	05427965	2014-07-06	122	A
USGS	05427965	2014-07-07	194	A
USGS	05427965	2014-07-08	43.9	A
USGS	05427965	2014-07-09	72.8	A
USGS	05427965	2014-07-10	91.1	A
USGS	05427965	2014-07-11	130	A
USGS	05427965	2014-07-12	141	A
USGS	05427965	2014-07-13	46.7	A
USGS	05427965	2014-07-14	58.4	A
USGS	05427965	2014-07-15	67.3	A
USGS	05427965	2014-07-16	77.3	A
USGS	05427965	2014-07-17	65.1	A
USGS	05427965	2014-07-18	100	A
USGS	05427965	2014-07-19	138	A
USGS	05427965	2014-07-20	180	A
USGS	05427965	2014-07-21	236	A
USGS	05427965	2014-07-22	261	A
USGS	05427965	2014-07-23	262	A
USGS	05427965	2014-07-24	262	A
USGS	05427965	2014-07-25	256	A
USGS	05427965	2014-07-26	252	A
USGS	05427965	2014-07-27	189	A
USGS	05427965	2014-07-28	65.4	A
USGS	05427965	2014-07-29	124	A
USGS	05427965	2014-07-30	91.9	A
USGS	05427965	2014-07-31	144	A
USGS	05427965	2014-08-01	143	A
USGS	05427965	2014-08-02	87.8	A
USGS	05427965	2014-08-03	73.4	A
USGS	05427965	2014-08-04	70.3	A
USGS	05427965	2014-08-05	68.6	A
USGS	05427965	2014-08-06	72.3	A
USGS	05427965	2014-08-07	87.8	A
USGS	05427965	2014-08-08	133	A
USGS	05427965	2014-08-09	176	A
USGS	05427965	2014-08-10	218	A
USGS	05427965	2014-08-11	235	A
USGS	05427965	2014-08-12	241	A
USGS	05427965	2014-08-13	242	A
USGS	05427965	2014-08-14	240	A
USGS	05427965	2014-08-15	243	A
USGS	05427965	2014-08-16	242	A
USGS	05427965	2014-08-17	243	A
USGS	05427965	2014-08-18	245	A
USGS	05427965	2014-08-19	75.3	A
USGS	05427965	2014-08-20	81.7	A
USGS	05427965	2014-08-21	64.5	A
USGS	05427965	2014-08-22	60.6	A
USGS	05427965	2014-08-23	65.5	A
USGS	05427965	2014-08-24	68.6	A
USGS	05427965	2014-08-25	44.5	A
USGS	05427965	2014-08-26	34.4	A
USGS	05427965	2014-08-27	52.4	A
USGS	05427965	2014-08-28	93.5	A
USGS	05427965	2014-08-29	145	A
USGS	05427965	2014-08-30	36.0	A
USGS	05427965	2014-08-31	39.7	A
USGS	05427965	2014-09-01	43.6	A
USGS	05427965	2014-09-02	38.9	A
USGS	05427965	2014-09-03	57.4	A
USGS	05427965	2014-09-04	29.8	A
USGS	05427965	2014-09-05	26.2	A
USGS	05427965	2014-09-06	42.0	A
USGS	05427965	2014-09-07	73.3	A
USGS	05427965	2014-09-08	308	A
USGS	05427965	2014-09-09	373	A
USGS	05427965	2014-09-10	42.1	A
USGS	05427965	2014-09-11	36.0	A
USGS	05427965	2014-09-12	55.0	A
USGS	05427965	2014-09-13	43.0	A
USGS	05427965	2014-09-14	80.4	A
USGS	05427965	2014-09-15	63.4	A
USGS	05427965	2014-09-16	39.4	A
USGS	05427965	2014-09-17	68.4	A
USGS	05427965	2014-09-18	198	A
USGS	05427965	2014-09-19	226	A
USGS	05427965	2014-09-20	242	A
USGS	05427965	2014-09-21	55.3	A
USGS	05427965	2014-09-22	68.3	A
USGS	05427965	2014-09-23	134	A
USGS	05427965	2014-09-24	170	A
USGS	05427965	2014-09-25	241	A
USGS	05427965	2014-09-26	265	A
USGS	05427965	2014-09-27	264	A
USGS	05427965	2014-09-28	262	A
USGS	05427965	2014-09-29	255	A
USGS	05427965	2014-09-30	254	A
USGS	05427965	2014-10-01	255	A
USGS	05427965	2014-10-02	243	A
USGS	05427965	2014-10-03	54.5	A
USGS	05427965	2014-10-04	49.7	A
USGS	05427965	2014-10-05	58.7	A
USGS	05427965	2014-10-06	71.8	A
USGS	05427965	2014-10-07	78.6	A
USGS	05427965	2014-10-08	143	A
USGS	05427965	2014-10-09	222	A
USGS	05427965	2014-10-10	386	A
USGS	05427965	2014-10-11	215	A
USGS	05427965	2014-10-12	190	A
USGS	05427965	2014-10-13	166	A
USGS	05427965	2014-10-14	41.6	A
USGS	05427965	2014-10-15	45.7	A
USGS	05427965	2014-10-16	56.7	A
USGS	05427965	2014-10-17	83.1	A
USGS	05427965	2014-10-18	87.6	A
USGS	05427965	2014-10-19	69.8	A
USGS	05427965	2014-10-20	82.9	A
USGS	05427965	2014-10-21	136	A
USGS	05427965	2014-10-22	172	A
USGS	05427965	2014-10-23	172	A
USGS	05427965	2014-10-24	156	A
USGS	05427965	2014-10-25	219	A
USGS	05427965	2014-10-26	259	A
USGS	05427965	2014-10-27	230	A
USGS	05427965	2014-10-28	243	A
USGS	05427965	2014-10-29	260	A
USGS	05427965	2014-10-30	259	A
USGS	05427965	2014-10-31	258	A
USGS	05427965	2014-11-01	257	A
USGS	05427965	2014-11-02	256	A
USGS	05427965	2014-11-03	246	A
USGS	05427965	2014-11-04	121	A
USGS	05427965	2014-11-05	173	A
USGS	05427965	2014-11-06	171	A
USGS	05427965	2014-11-07	203	A
USGS	05427965	2014-11-08	165	A
USGS	05427965	2014-11-09	210	A
USGS	05427965	2014-11-10	233	A
USGS	05427965	2014-11-11	171	A
USGS	05427965	2014-11-12	207	A
USGS	05427965	2014-11-13	241	A
USGS	05427965	2014-11-14	250	A
USGS	05427965	2014-11-15	253	A
USGS	05427965	2014-11-16	260	A
USGS	05427965	2014-11-17	285	A
USGS	05427965	2014-11-18	287	A
USGS	05427965	2014-11-19	273	A
USGS	05427965	2014-11-20	255	A
USGS	05427965	2014-11-21	256	A
USGS	05427965	2014-11-22	260	A
USGS	05427965	2014-11-23	262	A
USGS	05427965	2014-11-24	244	A
USGS	05427965	2014-11-25	260	A
USGS	05427965	2014-11-26	327	A
USGS	05427965	2014-11-27	187	A
USGS	05427965	2014-11-28	184	A
USGS	05427965	2014-11-29	675	A
USGS	05427965	2014-11-30	701	A
USGS	05427965	2014-12-01	268	A
USGS	05427965	2014-12-02	220	A
USGS	05427965	2014-12-03	184	A
USGS	05427965	2014-12-04	211	A
USGS	05427965	2014-12-05	215	A
USGS	05427965	2014-12-06	194	A
USGS	05427965	2014-12-07	134	A
USGS	05427965	2014-12-08	1380	A
USGS	05427965	2014-12-09	359	A
USGS	05427965	2014-12-10	265	A
USGS	05427965	2014-12-11	210	A
USGS	05427965	2014-12-12	215	A
USGS	05427965	2014-12-13	351	A
USGS	05427965	2014-12-14	564	A
USGS	05427965	2014-12-15	530	A
USGS	05427965	2014-12-16	286	A
USGS	05427965	2014-12-17	299	A
USGS	05427965	2014-12-18	304	A
USGS	05427965	2014-12-19	303	A
USGS	05427965	2014-12-20	296	A
USGS	05427965	2014-12-21	293	A
USGS	05427965	2014-12-22	274	A
USGS	05427965	2014-12-23	256	A
USGS	05427965	2014-12-24	288	A
USGS	05427965	2014-12-25	288	A
USGS	05427965	2014-12-26	287	A
USGS	05427965	2014-12-27	261	A
USGS	05427965	2014-12-28	315	A
USGS	05427965	2014-12-29	364	A
USGS	05427965	2014-12-30	364	A
USGS	05427965	2014-12-31	89.5	A
USGS	05427965	2015-01-01	147	A
USGS	05427965	2015-01-02	202	A
USGS	05427965	2015-01-03	212	A
USGS	05427965	2015-01-04	269	A
USGS	05427965	2015-01-05	6.3	A
USGS	05427965	2015-01-06	2.7	A
USGS	05427965	2015-01-07	1.9	A
USGS	05427965	2015-01-08	2.4	A
USGS	05427965	2015-01-09	1.9	A
USGS	05427965	2015-01-10	2.4	A
USGS	05427965	2015-01-11	2.8	A
USGS	05427965	2015-01-12	1.8	A
USGS	05427965	2015-01-13	1.6	A
USGS	05427965	2015-01-14	2.2	A
USGS	05427965	2015-01-15	3.7	A
USGS	05427965	2015-01-16	3.1	A
USGS	05427965	2015-01-17	2.6	A
USGS	05427965	2015-01-18	572	A
USGS	05427965	2015-01-19	907	A
USGS	05427965	2015-01-20	350	A
USGS	05427965	2015-01-21	1110	A
USGS	05427965	2015-01-22	1220	A
USGS	05427965	2015-01-23	1720	A
USGS	05427965	2015-01-24	1620	A
USGS	05427965	2015-01-25	1310	A
USGS	05427965	2015-01-26	871	A
USGS	05427965	2015-01-27	765	A
USGS	05427965	2015-01-28	3620	A
USGS	05427965	2015-01-29	7360	A
USGS	05427965	2015-01-30	5640	A
USGS	05427965	2015-01-31	4680	A
USGS	05427965	2015-02-01	2490	A
USGS	05427965	2015-02-02	1420	A
USGS	05427965	2015-02-03	1510	A
USGS	05427965	2015-02-04	1680	A
USGS	05427965	2015-02-05	945	A
USGS	05427965	2015-02-06	1580	A
USGS	05427965	2015-02-07	2620	A
USGS	05427965	2015-02-08	2770	A
USGS	05427965	2015-02-09	2990	A
USGS	05427965	2015-02-10	2270	A
USGS	05427965	2015-02-11	1970	A
USGS	05427965	2015-02-12	1850	A
USGS	05427965	2015-02-13	1820	A
USGS	05427965	2015-02-14	1380	A
USGS	05427965	2015-02-15	135	A
USGS	05427965	2015-02-16	60.1	A
USGS	05427965	2015-02-17	60.4	A
USGS	05427965	2015-02-18	23.6	A
USGS	05427965	2015-02-19	14.6	A
USGS	05427965	2015-02-20	1160	A
USGS	05427965	2015-02-21	455	A
USGS	05427965	2015-02-22	317	A
USGS	05427965	2015-02-23	60.0	A
USGS	05427965	2015-02-24	4.9	A
USGS	05427965	2015-02-25	2.3	A
USGS	05427965	2015-02-26	1.6	A
USGS	05427965	2015-02-27	1.5	A
USGS	05427965	2015-02-28	1.4	A
USGS	05427965	2015-03-01	2.0	A
USGS	05427965	2015-03-02	2.1	A
USGS	05427965	2015-03-03	1.7	A
USGS	05427965	2015-03-04	1.6	A
USGS	05427965	2015-03-05	1.4	A
USGS	05427965	2015-03-06	1.6	A
USGS	05427965	2015-03-07	4.1	A
USGS	05427965	2015-03-08	1060	A
USGS	05427965	2015-03-09	659	A
USGS	05427965	2015-03-10	675	A
USGS	05427965	2015-03-11	703	A
USGS	05427965	2015-03-12	662	A
USGS	05427965	2015-03-13	567	A
USGS	05427965	2015-03-14	545	A
USGS	05427965	2015-03-15	574	A
USGS	05427965	2015-03-16	555	A
USGS	05427965	2015-03-17	504	A
USGS	05427965	2015-03-18	387	A
USGS	05427965	2015-03-19	306	A
USGS	05427965	2015-03-20	296	A
USGS	05427965	2015-03-21	288	A
USGS	05427965	2015-03-22	282	A
USGS	05427965	2015-03-23	2100	A
USGS	05427965	2015-03-24	2020	A
USGS	05427965	2015-03-25	900	A
USGS	05427965	2015-03-26	829	A
USGS	05427965	2015-03-27	818	A
USGS	05427965	2015-03-28	810	A
USGS	05427965	2015-03-29	890	A
USGS	05427965	2015-03-30	752	A
USGS	05427965	2015-03-31	583	A
USGS	05427965	2015-04-01	469	A
USGS	05427965	2015-04-02	460	A
USGS	05427965	2015-04-03	434	A
USGS	05427965	2015-04-04	328	A
USGS	05427965	2015-04-05	338	A
USGS	05427965	2015-04-06	316	A
USGS	05427965	2015-04-07	371	A
USGS	05427965	2015-04-08	578	A
USGS	05427965	2015-04-09	256	A
USGS	05427965	2015-04-10	288	A
USGS	05427965	2015-04-11	305	A
USGS	05427965	2015-04-12	314	A
USGS	05427965	2015-04-13	236	A
USGS	05427965	2015-04-14	330	A
USGS	05427965	2015-04-15	348	A
USGS	05427965	2015-04-16	330	A
USGS	05427965	2015-04-17	293	A
USGS	05427965	2015-04-18	275	A
USGS	05427965	2015-04-19	252	A
USGS	05427965	2015-04-20	218	A
USGS	05427965	2015-04-21	299	A
USGS	05427965	2015-04-22	307	A
USGS	05427965	2015-04-23	313	A
USGS	05427965	2015-04-24	253	A
USGS	05427965	2015-04-25	255	A
USGS	05427965	2015-04-26	266	A
USGS	05427965	2015-04-27	276	A
USGS	05427965	2015-04-28	297	A
USGS	05427965	2015-04-29	290	A
USGS	05427965	2015-04-30	296	A
USGS	05427965	2015-05-01	258	A
USGS	05427965	2015-05-02	47.8	A
USGS	05427965	2015-05-03	12.0	A
USGS	05427965	2015-05-04	175	A
USGS	05427965	2015-05-05	151	A
USGS	05427965	2015-05-06	161	A
USGS	05427965	2015-05-07	169	A
USGS	05427965	2015-05-08	174	A
USGS	05427965	2015-05-09	208	A
USGS	05427965	2015-05-10	228	A
USGS	05427965	2015-05-11	154	A
USGS	05427965	2015-05-12	147	A
USGS	05427965	2015-05-13	163	A
USGS	05427965	2015-05-14	172	A
USGS	05427965	2015-05-15	108	A
USGS	05427965	2015-05-16	150	A
USGS	05427965	2015-05-17	137	A
USGS	05427965	2015-05-18	145	A
USGS	05427965	2015-05-19	154	A
USGS	05427965	2015-05-20	168	A
USGS	05427965	2015-05-21	215	A
USGS	05427965	2015-05-22	226	A
USGS	05427965	2015-05-23	242	A
USGS	05427965	2015-05-24	153	A
USGS	05427965	2015-05-25	117	A
USGS	05427965	2015-05-26	99.8	A
USGS	05427965	2015-05-27	97.9	A
USGS	05427965	2015-05-28	103	A
USGS	05427965	2015-05-29	87.5	A
USGS	05427965	2015-05-30	71.2	A
USGS	05427965	2015-05-31	78.1	A
USGS	05427965	2015-06-01	77.2	A
USGS	05427965	2015-06-02	81.4	A
USGS	05427965	2015-06-03	102	A
USGS	05427965	2015-06-04	146	A
USGS	05427965	2015-06-05	164	A
USGS	05427965	2015-06-06	192	A
USGS	05427965	2015-06-07	145	A
USGS	05427965	2015-06-08	148	A
USGS	05427965	2015-06-09	86.7	A
USGS	05427965	2015-06-10	115	A
USGS	05427965	2015-06-11	87.5	A
USGS	05427965	2015-06-12	52.5	A
USGS	05427965	2015-06-13	61.2	A
USGS	05427965	2015-06-14	77.3	A
USGS	05427965	2015-06-15	59.8	A
USGS	05427965	2015-06-16	59.7	A
USGS	05427965	2015-06-17	80.6	A
USGS	05427965	2015-06-18	122	A
USGS	05427965	2015-06-19	163	A
USGS	05427965	2015-06-20	151	A
USGS	05427965	2015-06-21	158	A
USGS	05427965	2015-06-22	120	A
USGS	05427965	2015-06-23	67.3	A
USGS	05427965	2015-06-24	77.9	A
USGS	05427965	2015-06-25	75.9	A
USGS	05427965	2015-06-26	61.6	A
USGS	05427965	2015-06-27	62.1	A
USGS	05427965	2015-06-28	56.5	A
USGS	05427965	2015-06-29	56.7	A
USGS	05427965	2015-06-30	55.6	A
USGS	05427965	2015-07-01	59.8	A
USGS	05427965	2015-07-02	88.2	A
USGS	05427965	2015-07-03	130	A
USGS	05427965	2015-07-04	143	A
USGS	05427965	2015-07-05	180	A
USGS	05427965	2015-07-06	120	A
USGS	05427965	2015-07-07	40.6	A
USGS	05427965	2015-07-08	49.0	A
USGS	05427965	2015-07-09	79.7	A
USGS	05427965	2015-07-10	121	A
USGS	05427965	2015-07-11	177	A
USGS	05427965	2015-07-12	219	A
USGS	05427965	2015-07-13	54.0	A
USGS	05427965	2015-07-14	46.9	A
USGS	05427965	2015-07-15	57.6	A
USGS	05427965	2015-07-16	72.7	A
USGS	05427965	2015-07-17	37.7	A
USGS	05427965	2015-07-18	36.8	A
USGS	05427965	2015-07-19	46.5	A
USGS	05427965	2015-07-20	58.0	A
USGS	05427965	2015-07-21	112	A
USGS	05427965	2015-07-22	173	A
USGS	05427965	2015-07-23	237	A
USGS	05427965	2015-07-24	253	A
USGS	05427965	2015-07-25	254	A
USGS	05427965	2015-07-26	253	A
USGS	05427965	2015-07-27	261	A
USGS	05427965	2015-07-28	263	A
USGS	05427965	2015-07-29	73.3	A
USGS	05427965	2015-07-30	86.0	A
USGS	05427965	2015-07-31	81.2	A
USGS	05427965	2015-08-01	70.1	A
USGS	05427965	2015-08-02	56.7	A
USGS	05427965	2015-08-03	96.5	A
USGS	05427965	2015-08-04	141	A
USGS	05427965	2015-08-05	229	A
USGS	05427965	2015-08-06	257	A
USGS	05427965	2015-08-07	204	A
USGS	05427965	2015-08-08	54.3	A
USGS	05427965	2015-08-09	57.9	A
USGS	05427965	2015-08-10	98.0	A
USGS	05427965	2015-08-11	166	A
USGS	05427965	2015-08-12	256	A
USGS	05427965	2015-08-13	267	A
USGS	05427965	2015-08-14	263	A
USGS	05427965	2015-08-15	163	A
USGS	05427965	2015-08-16	54.4	A
USGS	05427965	2015-08-17	54.9	A
USGS	05427965	2015-08-18	39.9	A
USGS	05427965	2015-08-19	24.2	A
USGS	05427965	2015-08-20	33.8	A
USGS	05427965	2015-08-21	64.5	A
USGS	05427965	2015-08-22	135	A
USGS	05427965	2015-08-23	169	A
USGS	05427965	2015-08-24	265	A
USGS	05427965	2015-08-25	273	A
USGS	05427965	2015-08-26	265	A
USGS	05427965	2015-08-27	263	A
USGS	05427965	2015-08-28	197	A
USGS	05427965	2015-08-29	29.5	A
USGS	05427965	2015-08-30	35.5	A
USGS	05427965	2015-08-31	71.4	A
USGS	05427965	2015-09-01	139	A
USGS	05427965	2015-09-02	219	A
USGS	05427965	2015-09-03	253	A
USGS	05427965	2015-09-04	260	A
USGS	05427965	2015-09-05	263	A
USGS	05427965	2015-09-06	263	A
USGS	05427965	2015-09-07	53.8	A
USGS	05427965	2015-09-08	30.5	A
USGS	05427965	2015-09-09	34.0	A
USGS	05427965	2015-09-10	33.6	A
USGS	05427965	2015-09-11	38.2	A
USGS	05427965	2015-09-12	68.0	A
USGS	05427965	2015-09-13	114	A
USGS	05427965	2015-09-14	172	A
USGS	05427965	2015-09-15	229	A
USGS	05427965	2015-09-16	247	A
USGS	05427965	2015-09-17	211	A
USGS	05427965	2015-09-18	26.3	A
USGS	05427965	2015-09-19	31.3	A
USGS	05427965	2015-09-20	36.9	A
USGS	05427965	2015-09-21	56.4	A
USGS	05427965	2015-09-22	91.3	A
USGS	05427965	2015-09-23	110	A
USGS	05427965	2015-09-24	121	A
USGS	05427965	2015-09-25	170	A
USGS	05427965	2015-09-26	229	A
USGS	05427965	2015-09-27	243	A
USGS	05427965	2015-09-28	250	A
USGS	05427965	2015-09-29	41.4	A
USGS	05427965	2015-09-30	34.3	A
USGS	05427965	2015-10-01	81.1	A
USGS	05427965	2015-10-02	112	A
USGS	05427965	2015-10-03	163	A
USGS	05427965	2015-10-04	209	A
USGS	05427965	2015-10-05	241	A
USGS	05427965	2015-10-06	205	A
USGS	05427965	2015-10-07	160	A
USGS	05427965	2015-10-08	222	A
USGS	05427965	2015-10-09	151	A
USGS	05427965	2015-10-10	185	A
USGS	05427965	2015-10-11	252	A
USGS	05427965	2015-10-12	225	A
USGS	05427965	2015-10-13	233	A
USGS	05427965	2015-10-14	192	A
USGS	05427965	2015-10-15	231	A
USGS	05427965	2015-10-16	259	A
USGS	05427965	2015-10-17	283	A
USGS	05427965	2015-10-18	278	A
USGS	05427965	2015-10-19	272	A
USGS	05427965	2015-10-20	267	A
USGS	05427965	2015-10-21	270	A
USGS	05427965	2015-10-22	271	A
USGS	05427965	2015-10-23	200	A
USGS	05427965	2015-10-24	43.6	A
USGS	05427965	2015-10-25	46.8	A
USGS	05427965	2015-10-26	54.9	A
USGS	05427965	2015-10-27	60.2	A
USGS	05427965	2015-10-28	34.3	A
USGS	05427965	2015-10-29	38.2	A
USGS	05427965	2015-10-30	44.9	A
USGS	05427965	2015-10-31	39.7	A
USGS	05427965	2015-11-01	41.6	A
USGS	05427965	2015-11-02	46.4	A
USGS	05427965	2015-11-03	57.0	A
USGS	05427965	2015-11-04	74.4	A
USGS	05427965	2015-11-05	80.8	A
USGS	05427965	2015-11-06	38.7	A
USGS	05427965	2015-11-07	47.1	A
USGS	05427965	2015-11-08	53.2	A
USGS	05427965	2015-11-09	60.5	A
USGS	05427965	2015-11-10	69.4	A
USGS	05427965	2015-11-11	69.0	A
USGS	05427965	2015-11-12	36.4	A
USGS	05427965	2015-11-13	42.9	A
USGS	05427965	2015-11-14	46.3	A
USGS	05427965	2015-11-15	58.7	A
USGS	05427965	2015-11-16	88.0	A
USGS	05427965	2015-11-17	57.1	A
USGS	05427965	2015-11-18	31.5	A
USGS	05427965	2015-11-19	39.7	A
USGS	05427965	2015-11-20	116	A
USGS	05427965	2015-11-21	780	A
USGS	05427965	2015-11-22	263	A
USGS	05427965	2015-11-23	232	A
USGS	05427965	2015-11-24	322	A
USGS	05427965	2015-11-25	386	A
USGS	05427965	2015-11-26	159	A
USGS	05427965	2015-11-27	143	A
USGS	05427965	2015-11-28	153	A
USGS	05427965	2015-11-29	155	A
USGS	05427965	2015-11-30	147	A
USGS	05427965	2015-12-01	133	A
USGS	05427965	2015-12-02	304	A
USGS	05427965	2015-12-03	232	A
USGS	05427965	2015-12-04	204	A
USGS	05427965	2015-12-05	199	A
USGS	05427965	2015-12-06	207	A
